episode,reward,loss,epsilon
189,-13.0,0.4350988119840622,0.8394202830818028
190,-13.0,0.13379257172346115,0.8385810726537919
191,-16.0,0.27661529183387756,0.8377427012264064
192,-20.0,0.36341042816638947,0.8369051679608553
193,-20.0,0.5238117277622223,0.8360684720191865
194,-20.0,0.5285796970129013,0.8352326125642855
195,1.0,0.4073920100927353,0.8343975887598745
196,-20.0,0.14945443719625473,0.833563399770512
197,-13.0,0.2002207636833191,0.8327300447615915
198,-20.0,0.38685275614261627,0.8318975228993413
199,-20.0,0.24005411192774773,0.8310658333508228
200,-20.0,0.49804720282554626,0.8302349752839304
201,-20.0,0.5256620049476624,0.8294049478673904
202,-8.0,0.23938728123903275,0.8285757502707601
203,-20.0,0.44279061257839203,0.8277473816644271
204,-20.0,0.4479779973626137,0.8269198412196082
205,-12.0,0.05909361317753792,0.8265063812989984
206,10.0,0,0.8265063812989984
207,-20.0,0.8400290906429291,0.8256800815442948
208,-20.0,0.2451082020998001,0.824854607882771
209,-20.0,0.293297678232193,0.8240299594885403
210,-1.0,0.4941911846399307,0.8232061355365418
211,-20.0,0.31699909269809723,0.8223831352025393
212,-20.0,0.4000200107693672,0.8215609576631205
213,-20.0,0.4435562193393707,0.820739602095697
214,-13.0,0.37545790523290634,0.8199190676785019
215,-12.0,0.08583797514438629,0.8195091081446627
216,-13.0,0.22824537009000778,0.8186898039137951
217,-13.0,1.845492959022522,0.8178713187823323
218,-18.0,1.8093607425689697,0.8170536519313798
219,-8.0,1.8425715565681458,0.8162368025428616
220,6.0,1.515734314918518,0.8154207697995194
221,-13.0,1.4896920919418335,0.8146055528849124
222,-20.0,1.172221302986145,0.8137911509834158
223,-20.0,0.8411368131637573,0.8129775632802202
224,-13.0,0.6224343180656433,0.8121647889613309
225,-1.0,0.5061065852642059,0.8113528272135669
226,-13.0,0.80455681681633,0.8105416772245603
227,-13.0,0.5635464787483215,0.8097313381827551
228,-18.0,0.6951121389865875,0.808921809277407
229,-6.0,0.7640266418457031,0.808113089698582
230,-8.0,0.23328951001167297,0.8077090331537328
231,-13.0,0.9935619831085205,0.8069015260478374
232,-20.0,0.49147701263427734,0.8060948262471712
233,-13.0,0.8722681701183319,0.8052889329446307
234,-6.0,0.5574929416179657,0.8044838453339194
235,-8.0,0.4629027545452118,0.8036795626095469
